ID	Word	Lemma	POS	Features	(EverythingElse)
47	такой	такой	DET	Case=Nom|Gender=Masc|Number=Sing	@dib1981m-words#@dib1981m-words#17.82#18.132
48	там	там	ADV	Degree=Pos	@dib1981m-words#@dib1981m-words#18.132#18.444
49	или	или	CCONJ	_	@dib1981m-words#@dib1981m-words#18.444#18.756
50	все	все	PRON	Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing	@dib1981m-words#@dib1981m-words#18.756#19.068
51	равны	равный	ADJ	Degree=Pos|Number=Plur|Variant=Short	@dib1981m-words#@dib1981m-words#19.068#19.412
52	вы	вы	PRON	Case=Nom|Number=Plur|Person=2	@dib1981m-words#@dib1981m-words#20.49#20.618
53	так	так	ADV	Degree=Pos	@dib1981m-words#@dib1981m-words#20.618#20.746
54	считаете	считать	VERB	Aspect=Imp|Mood=Ind|Number=Plur|Person=2|Tense=Pres|VerbForm=Fin|Voice=Act	@dib1981m-words#@dib1981m-words#20.746#20.874
55	?	?	PUNCT	_	@dib1981m-words#@dib1981m-words#20.874#21.004
56	а	а	CCONJ	_	@dib1981m-words#@dib1981m-words#22.521#22.639
57	как	как	SCONJ	_	@dib1981m-words#@dib1981m-words#22.639#22.757
58	это	это	PRON	Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing	@dib1981m-words#@dib1981m-words#22.757#22.875
59	тогда	тогда	ADV	Degree=Pos	@dib1981m-words#@dib1981m-words#22.875#22.993
60	?	?	PUNCT	_	@dib1981m-words#@dib1981m-words#22.993#23.112
61	ну	ну	INTJ	_	@dib1981m-words#@dib1981m-words#38.894#39.082
62	она	она	PRON	Case=Nom|Gender=Fem|Number=Sing|Person=3	@dib1981m-words#@dib1981m-words#39.082#39.27
63	не	не	PART	_	@dib1981m-words#@dib1981m-words#39.27#39.458
64	может	мочь	VERB	Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act	@dib1981m-words#@dib1981m-words#39.458#39.646
65	себя	себя	PRON	Case=Acc	@dib1981m-words#@dib1981m-words#39.646#39.834
66	чувствовать	чувствовать	VERB	Aspect=Imp|VerbForm=Inf|Voice=Act	@dib1981m-words#@dib1981m-words#39.834#40.022
67	на	на	ADP	_	@dib1981m-words#@dib1981m-words#40.022#40.21
68	равных	равный	NOUN	Animacy=Anim|Case=Acc|Gender=Masc|Number=Plur	@dib1981m-words#@dib1981m-words#40.21#40.398
69	с	с	ADP	_	@dib1981m-words#@dib1981m-words#40.398#40.586
70	мужчиной	мужчина	NOUN	Animacy=Inan|Case=Ins|Gender=Fem|Number=Sing	@dib1981m-words#@dib1981m-words#40.586#40.774
71	в	в	ADP	_	@dib1981m-words#@dib1981m-words#40.774#40.962
72	безопасности	безопасность	NOUN	Animacy=Inan|Case=Loc|Gender=Fem|Number=Sing	@dib1981m-words#@dib1981m-words#40.962#41.159
73	или	или	CCONJ	_	@dib1981m-words#@dib1981m-words#41.932#42.045
74	нет	нет	PART	_	@dib1981m-words#@dib1981m-words#42.045#42.158
75	?	?	PUNCT	_	@dib1981m-words#@dib1981m-words#42.158#42.271
76	Так	так	ADV	Degree=Pos	@dib1981m-words#@dib1981m-words#43.513#43.771
77	/	/	PUNCT	_	@dib1981m-words#@dib1981m-words#43.771#44.029
78	как	как	SCONJ	_	@dib1981m-words#@dib1981m-words#44.029#44.287
79	и	и	PART	_	@dib1981m-words#@dib1981m-words#44.287#44.545
80	то	то	PRON	Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing	@dib1981m-words#@dib1981m-words#44.545#44.803
81	есть	быть	VERB	Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act	@dib1981m-words#@dib1981m-words#44.803#45.061
82	тут	тут	ADV	Degree=Pos	@dib1981m-words#@dib1981m-words#45.061#45.319
83	равноправие	равноправие	NOUN	Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing	@dib1981m-words#@dib1981m-words#45.319#45.577
84	абсолютное	абсолютный	ADJ	Case=Nom|Degree=Pos|Gender=Neut|Number=Sing	@dib1981m-words#@dib1981m-words#45.577#45.835
85	мне	я	PRON	Case=Dat|Number=Sing|Person=1	@dib1981m-words#@dib1981m-words#45.835#46.093
86	кажется	казаться	VERB	Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Mid	@dib1981m-words#@dib1981m-words#46.093#46.351
87	/	/	PUNCT	_	@dib1981m-words#@dib1981m-words#46.351#46.609
88	мы	мы	PRON	Case=Nom|Number=Plur|Person=1	@dib1981m-words#@dib1981m-words#46.609#46.867
89	далеко	далеко	ADV	Degree=Pos	@dib1981m-words#@dib1981m-words#46.867#47.125
90	не	не	PART	_	@dib1981m-words#@dib1981m-words#47.125#47.383
91	защищены	защитить	VERB	Aspect=Perf|Number=Plur|Tense=Past|Variant=Short|VerbForm=Part|Voice=Pass	@dib1981m-words#@dib1981m-words#47.383#47.644
92	Ну	ну	INTJ	_	@dib1981m-words#@dib1981m-words#66.711#67.059
93	Конечно	Конечно	ADV	Degree=Pos	@dib1981m-words#@dib1981m-words#67.592#68.236
94	возможно	возможно	ADV	Degree=Pos	@dib1981m-words#@dib1981m-words#75.63#75.935
95	меня	я	PRON	Case=Acc|Number=Sing|Person=1	@dib1981m-words#@dib1981m-words#75.935#76.24
96	сейчас	сейчас	ADV	Degree=Pos	@dib1981m-words#@dib1981m-words#76.24#76.545
97	покалечат	покалечить	VERB	Aspect=Perf|Mood=Ind|Number=Plur|Person=3|Tense=Fut|VerbForm=Fin|Voice=Act	@dib1981m-words#@dib1981m-words#76.545#76.85
98	/	/	PUNCT	_	@dib1981m-words#@dib1981m-words#76.85#77.155
99	конечно	конечно	ADV	Degree=Pos	@dib1981m-words#@dib1981m-words#77.155#77.46
100	думаю	думать	VERB	Aspect=Imp|Mood=Ind|Number=Sing|Person=1|Tense=Pres|VerbForm=Fin|Voice=Act	@dib1981m-words#@dib1981m-words#77.46#77.771
101	вот	вот	PART	_	@dib1981m-words#@dib1981m-words#78.016#78.289
102	я	я	PRON	Case=Nom|Number=Sing|Person=1	@dib1981m-words#@dib1981m-words#78.289#78.562
103	как	как	SCONJ	_	@dib1981m-words#@dib1981m-words#78.562#78.835
104	бы	бы	PART	_	@dib1981m-words#@dib1981m-words#78.835#79.108
105	обладаю	обладать	VERB	Aspect=Imp|Mood=Ind|Number=Sing|Person=1|Tense=Pres|VerbForm=Fin|Voice=Act	@dib1981m-words#@dib1981m-words#79.108#79.381
106	маленькой	маленький	ADJ	Case=Ins|Degree=Pos|Gender=Fem|Number=Sing	@dib1981m-words#@dib1981m-words#79.381#79.654
107	комплекцией	комплекция	NOUN	Animacy=Inan|Case=Ins|Gender=Fem|Number=Sing	@dib1981m-words#@dib1981m-words#79.654#79.927
108	/	/	PUNCT	_	@dib1981m-words#@dib1981m-words#79.927#80.2
109	и	и	CCONJ	_	@dib1981m-words#@dib1981m-words#80.2#80.473
110	всю	весь	DET	Case=Acc|Gender=Fem|Number=Sing	@dib1981m-words#@dib1981m-words#80.473#80.746
111	жизнь	жизнь	NOUN	Animacy=Inan|Case=Acc|Gender=Fem|Number=Sing	@dib1981m-words#@dib1981m-words#80.746#81.019
112	я	я	PRON	Case=Nom|Number=Sing|Person=1	@dib1981m-words#@dib1981m-words#81.019#81.292
113	/	/	PUNCT	_	@dib1981m-words#@dib1981m-words#81.292#81.565
114	был	быть	VERB	Aspect=Imp|Gender=Masc|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act	@dib1981m-words#@dib1981m-words#81.565#81.838
115	как	как	ADV	Degree=Pos	@dib1981m-words#@dib1981m-words#81.838#82.111
116	бы	бы	PART	_	@dib1981m-words#@dib1981m-words#82.111#82.384
117	/	/	PUNCT	_	@dib1981m-words#@dib1981m-words#82.384#82.657
118	самый	самый	ADJ	Case=Nom|Degree=Pos|Gender=Masc|Number=Sing	@dib1981m-words#@dib1981m-words#82.657#82.93
119	маленький	маленький	ADJ	Case=Nom|Degree=Pos|Gender=Masc|Number=Sing	@dib1981m-words#@dib1981m-words#82.93#83.203
120	в	в	ADP	_	@dib1981m-words#@dib1981m-words#83.203#83.476
121	классе	класс	NOUN	Animacy=Inan|Case=Loc|Gender=Masc|Number=Sing	@dib1981m-words#@dib1981m-words#83.476#83.749
122	и	и	CCONJ	_	@dib1981m-words#@dib1981m-words#83.749#84.022
123	конечно	конечно	ADV	Degree=Pos	@dib1981m-words#@dib1981m-words#84.022#84.295
124	я	я	PRON	Case=Nom|Number=Sing|Person=1	@dib1981m-words#@dib1981m-words#84.295#84.568
125	опасаюсь	опасаться	VERB	Aspect=Imp|Mood=Ind|Number=Sing|Person=1|Tense=Pres|VerbForm=Fin|Voice=Mid	@dib1981m-words#@dib1981m-words#84.568#84.841
126	людей	человек	NOUN	Animacy=Anim|Case=Acc|Gender=Masc|Number=Plur	@dib1981m-words#@dib1981m-words#84.841#85.114
127	/	/	PUNCT	_	@dib1981m-words#@dib1981m-words#85.114#85.387
128	которые	который	PRON	Case=Nom	@dib1981m-words#@dib1981m-words#85.387#85.66
129	сильнее	сильный	ADJ	Degree=Cmp	@dib1981m-words#@dib1981m-words#85.66#85.933
130	меня	я	PRON	Case=Acc|Number=Sing|Person=1	@dib1981m-words#@dib1981m-words#85.933#86.206
131	/	/	PUNCT	_	@dib1981m-words#@dib1981m-words#86.206#86.479
132	инстинкт	инстинкт	NOUN	Animacy=Inan|Case=Nom|Gender=Masc|Number=Sing	@dib1981m-words#@dib1981m-words#86.479#86.752
133	самосохранения	самосохранение	NOUN	Animacy=Inan|Case=Gen|Gender=Neut|Number=Sing	@dib1981m-words#@dib1981m-words#86.752#87.025
134	/	/	PUNCT	_	@dib1981m-words#@dib1981m-words#87.025#87.298
135	а	а	CCONJ	_	@dib1981m-words#@dib1981m-words#87.298#87.571
136	девушки	девушка	NOUN	Animacy=Anim|Case=Nom|Gender=Fem|Number=Plur	@dib1981m-words#@dib1981m-words#87.571#87.844
137	просто	просто	PART	_	@dib1981m-words#@dib1981m-words#87.844#88.117
138	в	в	ADP	_	@dib1981m-words#@dib1981m-words#88.117#88.39
139	большинстве	большинство	NOUN	Animacy=Inan|Case=Loc|Gender=Neut|Number=Sing	@dib1981m-words#@dib1981m-words#88.39#88.663
140	своем	свой	DET	Case=Loc|Gender=Neut|Number=Sing	@dib1981m-words#@dib1981m-words#88.663#88.936
141	они	они	PRON	Case=Nom|Number=Plur|Person=3	@dib1981m-words#@dib1981m-words#88.936#89.209
142	меньше	мало	NUM	_	@dib1981m-words#@dib1981m-words#89.209#89.482
143	мужчин	мужчина	NOUN	Animacy=Anim|Case=Gen|Gender=Masc|Number=Plur	@dib1981m-words#@dib1981m-words#89.482#89.755
144	/	/	PUNCT	_	@dib1981m-words#@dib1981m-words#89.755#90.028
145	и	и	CCONJ	_	@dib1981m-words#@dib1981m-words#90.028#90.301
146	поэтому	поэтому	ADV	Degree=Pos	@dib1981m-words#@dib1981m-words#90.301#90.574
147	да	да	PART	_	@dib1981m-words#@dib1981m-words#90.574#90.847
148	/	/	PUNCT	_	@dib1981m-words#@dib1981m-words#90.847#91.12
149	здесь	здесь	ADV	Degree=Pos	@dib1981m-words#@dib1981m-words#91.12#91.393
150	я	я	PRON	Case=Nom|Number=Sing|Person=1	@dib1981m-words#@dib1981m-words#91.393#91.666
151	с	с	ADP	_	@dib1981m-words#@dib1981m-words#91.666#91.939
152	вами	вы	PRON	Case=Ins|Number=Plur|Person=2	@dib1981m-words#@dib1981m-words#91.939#92.212
153	полностью	полностью	ADV	Degree=Pos	@dib1981m-words#@dib1981m-words#92.212#92.485
154	согласен	согласный	ADJ	Degree=Pos|Gender=Masc|Number=Sing|Variant=Short	@dib1981m-words#@dib1981m-words#92.485#92.758
155	/	/	PUNCT	_	@dib1981m-words#@dib1981m-words#92.758#93.031
156	я	я	PRON	Case=Nom|Number=Sing|Person=1	@dib1981m-words#@dib1981m-words#93.031#93.304
157	думаю	думать	VERB	Aspect=Imp|Mood=Ind|Number=Sing|Person=1|Tense=Pres|VerbForm=Fin|Voice=Act	@dib1981m-words#@dib1981m-words#93.304#93.577
158	тоже	тоже	PART	_	@dib1981m-words#@dib1981m-words#93.577#93.85
159	самое	сам	ADJ	Case=Nom|Degree=Pos|Gender=Neut|Number=Sing	@dib1981m-words#@dib1981m-words#93.85#94.123
160	/	/	PUNCT	_	@dib1981m-words#@dib1981m-words#94.123#94.396
161	и	и	CCONJ	_	@dib1981m-words#@dib1981m-words#94.396#94.669
162	моя	мой	DET	Case=Nom|Gender=Fem|Number=Sing	@dib1981m-words#@dib1981m-words#94.669#94.942
163	опасность	опасность	NOUN	Animacy=Inan|Case=Nom|Gender=Fem|Number=Sing	@dib1981m-words#@dib1981m-words#94.942#95.215
164	находясь	находиться	VERB	Aspect=Imp|Tense=Pres|VerbForm=Conv|Voice=Mid	@dib1981m-words#@dib1981m-words#95.215#95.488
165	на	на	ADP	_	@dib1981m-words#@dib1981m-words#95.488#95.761
166	улице	улица	NOUN	Animacy=Inan|Case=Loc|Gender=Fem|Number=Sing	@dib1981m-words#@dib1981m-words#95.761#96.034
167	с	с	ADP	_	@dib1981m-words#@dib1981m-words#96.034#96.307
168	отморозками	отморозок	NOUN	Animacy=Inan|Case=Ins|Gender=Fem|Number=Plur	@dib1981m-words#@dib1981m-words#96.307#96.58
169	/	/	PUNCT	_	@dib1981m-words#@dib1981m-words#96.58#96.853
170	нуу	ну	INTJ		@dib1981m-words#@dib1981m-words#96.853#97.126
171	/	/	PUNCT	_	@dib1981m-words#@dib1981m-words#97.126#97.399
172	я	я	PRON	Case=Nom|Number=Sing|Person=1	@dib1981m-words#@dib1981m-words#97.399#97.672
173	думаю	думать	VERB	Aspect=Imp|Mood=Ind|Number=Sing|Person=1|Tense=Pres|VerbForm=Fin|Voice=Act	@dib1981m-words#@dib1981m-words#97.672#97.945
174	не	не	PART	_	@dib1981m-words#@dib1981m-words#97.945#98.218
175	крайне	крайне	ADV	Degree=Pos	@dib1981m-words#@dib1981m-words#98.218#98.491
176	меньше	мало	ADV	_	@dib1981m-words#@dib1981m-words#98.491#98.788
177	если	если	SCONJ	_	@dib1981m-words#@dib1981m-words#99.516#99.739
178	я	я	PRON	Case=Nom|Number=Sing|Person=1	@dib1981m-words#@dib1981m-words#99.739#99.962
179	выгляжу	выглядеть	VERB	Aspect=Imp|Mood=Ind|Number=Sing|Person=1|Tense=Pres|VerbForm=Fin|Voice=Act	@dib1981m-words#@dib1981m-words#99.962#100.185
180	вызывающе	вызывающий	ADV	Degree=Pos	@dib1981m-words#@dib1981m-words#100.185#100.408
181	/	/	PUNCT	_	@dib1981m-words#@dib1981m-words#100.408#100.631
182	как…	как	SCONJ	_	@dib1981m-words#@dib1981m-words#100.631#100.854
183	/	/	PUNCT	_	@dib1981m-words#@dib1981m-words#100.854#101.077
184	в	в	ADP	_	@dib1981m-words#@dib1981m-words#101.077#101.3
185	девушка	девушка	NOUN	Animacy=Anim|Case=Nom|Gender=Fem|Number=Sing	@dib1981m-words#@dib1981m-words#101.3#101.523
186	может	мочь	VERB	Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act	@dib1981m-words#@dib1981m-words#101.523#101.746
187	выглядеть	выглядеть	VERB	Aspect=Imp|VerbForm=Inf|Voice=Act	@dib1981m-words#@dib1981m-words#101.746#101.969
188	/	/	PUNCT	_	@dib1981m-words#@dib1981m-words#101.969#102.192
189	вызывать	вызывать	VERB	Aspect=Imp|VerbForm=Inf|Voice=Act	@dib1981m-words#@dib1981m-words#102.192#102.415
190	/	/	PUNCT	_	@dib1981m-words#@dib1981m-words#102.415#102.638
191	вызывать	вызывать	VERB	Aspect=Imp|VerbForm=Inf|Voice=Act	@dib1981m-words#@dib1981m-words#102.638#102.861
192	у	у	ADP	_	@dib1981m-words#@dib1981m-words#102.861#103.084
193	них	они	PRON	Case=Gen|Number=Plur|Person=3	@dib1981m-words#@dib1981m-words#103.084#103.307
194	интерес	интерес	NOUN	Animacy=Inan|Case=Acc|Gender=Masc|Number=Sing	@dib1981m-words#@dib1981m-words#103.307#103.53
195	/	/	PUNCT	_	@dib1981m-words#@dib1981m-words#103.53#103.753
196	у	у	ADP	_	@dib1981m-words#@dib1981m-words#103.753#103.976
197	мужчин	мужчина	NOUN	Animacy=Anim|Case=Acc|Gender=Masc|Number=Plur	@dib1981m-words#@dib1981m-words#103.976#104.199
198	также	также	CCONJ		@dib1981m-words#@dib1981m-words#104.199#104.422
199	может	мочь	VERB	Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act	@dib1981m-words#@dib1981m-words#104.422#104.645
200	выглядеть	выглядеть	VERB	Aspect=Imp|VerbForm=Inf|Voice=Act	@dib1981m-words#@dib1981m-words#104.645#104.868
201	вызывающе	вызывающий	ADV	Degree=Pos	@dib1981m-words#@dib1981m-words#104.868#105.091
202	/	/	PUNCT	_	@dib1981m-words#@dib1981m-words#105.091#105.314
203	с	с	ADP	_	@dib1981m-words#@dib1981m-words#105.314#105.537
204	сережкой	сережка	NOUN	Animacy=Inan|Case=Ins|Gender=Fem|Number=Sing	@dib1981m-words#@dib1981m-words#105.537#105.76
205	в	в	ADP	_	@dib1981m-words#@dib1981m-words#105.76#105.983
206	ухе	ухо	NOUN	Animacy=Inan|Case=Loc|Gender=Masc|Number=Sing	@dib1981m-words#@dib1981m-words#105.983#106.206
207	/	/	PUNCT	_	@dib1981m-words#@dib1981m-words#106.206#106.429
208	он	он	PRON	Case=Nom|Gender=Masc|Number=Sing|Person=3	@dib1981m-words#@dib1981m-words#106.429#106.652
209	также…	также	CCONJ	_	@dib1981m-words#@dib1981m-words#106.652#106.875
210	вз	вз	INTJ	_	@dib1981m-words#@dib1981m-words#106.875#107.098
211	/	/	PUNCT	_	@dib1981m-words#@dib1981m-words#107.098#107.321
212	ну	ну	INTJ	_	@dib1981m-words#@dib1981m-words#107.321#107.544
213	вызовет	вызвать	VERB	Aspect=Perf|Mood=Ind|Number=Sing|Person=3|Tense=Fut|VerbForm=Fin|Voice=Act	@dib1981m-words#@dib1981m-words#107.544#107.767
214	у	у	ADP	_	@dib1981m-words#@dib1981m-words#107.767#107.99
215	них	они	PRON	Case=Gen|Number=Plur|Person=3	@dib1981m-words#@dib1981m-words#107.99#108.213
216	интерес	интерес	NOUN	Animacy=Inan|Case=Acc|Gender=Masc|Number=Sing	@dib1981m-words#@dib1981m-words#108.213#108.436
217	и	и	CCONJ	_	@dib1981m-words#@dib1981m-words#108.436#108.659
218	ему	он	PRON	Case=Dat|Gender=Masc|Number=Sing|Person=3	@dib1981m-words#@dib1981m-words#108.659#108.882
219	тоже	тоже	CCONJ	_	@dib1981m-words#@dib1981m-words#108.882#109.105
220	достанется	достаться	VERB	Aspect=Perf|Mood=Ind|Number=Sing|Person=3|Tense=Fut|VerbForm=Fin|Voice=Mid	@dib1981m-words#@dib1981m-words#109.105#109.338
221	меня	я	PRON	Case=Acc|Number=Sing|Person=1	@dib1981m-words#@dib1981m-words#113.744#113.951
222	?	?	PUNCT	_	@dib1981m-words#@dib1981m-words#113.951#114.159
223	я	я	PRON	Case=Nom|Number=Sing|Person=1	@dib1981m-words#@dib1981m-words#115.095#115.391
224	вот	вот	PART	_	@dib1981m-words#@dib1981m-words#115.391#115.687
225	честно	честно	ADV	Degree=Pos	@dib1981m-words#@dib1981m-words#115.687#115.983
226	говоря	говорить	VERB	Aspect=Imp|Tense=Pres|VerbForm=Conv|Voice=Act	@dib1981m-words#@dib1981m-words#115.983#116.279
227	/	/	PUNCT	_	@dib1981m-words#@dib1981m-words#116.279#116.575
228	не	не	PART	_	@dib1981m-words#@dib1981m-words#116.575#116.871
229	знаю	знать	VERB	Aspect=Imp|Mood=Ind|Number=Sing|Person=1|Tense=Pres|VerbForm=Fin|Voice=Act	@dib1981m-words#@dib1981m-words#116.871#117.167
230	насколько	насколько	ADV	Degree=Pos	@dib1981m-words#@dib1981m-words#117.167#117.466
231	вот	вот	PART	_	@dib1981m-words#@dib1981m-words#117.624#117.804
232	надо	надо	ADV	Degree=Pos	@dib1981m-words#@dib1981m-words#117.804#117.984
233	спросить	спросить	VERB	Aspect=Perf|VerbForm=Inf|Voice=Act	@dib1981m-words#@dib1981m-words#117.984#118.164
234	у	у	ADP	_	@dib1981m-words#@dib1981m-words#118.164#118.344
235	мужчин	мужчина	NOUN	Animacy=Anim|Case=Gen|Gender=Masc|Number=Plur	@dib1981m-words#@dib1981m-words#118.344#118.524
236	/	/	PUNCT	_	@dib1981m-words#@dib1981m-words#118.524#118.704
237	наверное	наверное	ADV	Degree=Pos	@dib1981m-words#@dib1981m-words#118.704#118.884
238	/	/	PUNCT	_	@dib1981m-words#@dib1981m-words#118.884#119.064
239	тут	тут	ADV	Degree=Pos	@dib1981m-words#@dib1981m-words#119.064#119.244
240	больше…	больше	ADV	Degree=Cmp	@dib1981m-words#@dib1981m-words#119.244#119.432
241	ну	ну	INTJ	_	@dib1981m-words#@dib1981m-words#129.846#130.096
242	так	так	ADV	Degree=Pos	@dib1981m-words#@dib1981m-words#130.096#130.346
243	не	не	PART	_	@dib1981m-words#@dib1981m-words#130.346#130.596
244	скажут	сказать	VERB	Aspect=Perf|Mood=Ind|Number=Plur|Person=3|Tense=Fut|VerbForm=Fin|Voice=Act	@dib1981m-words#@dib1981m-words#130.596#130.847
245	есть	есть	VERB	Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act	@dib1981m-words#@dib1981m-words#131.528#131.743
246	уголовный	уголовный	ADJ	Case=Nom|Degree=Pos|Gender=Masc|Number=Sing	@dib1981m-words#@dib1981m-words#131.743#131.958
247	кодекс	кодекс	NOUN	Animacy=Inan|Case=Nom|Gender=Masc|Number=Sing	@dib1981m-words#@dib1981m-words#131.958#132.173
248	/	/	PUNCT	_	@dib1981m-words#@dib1981m-words#132.173#132.388
249	к	к	ADP	_	@dib1981m-words#@dib1981m-words#132.388#132.603
250	сожалению	сожаление	NOUN	Animacy=Inan|Case=Dat|Gender=Neut|Number=Sing	@dib1981m-words#@dib1981m-words#132.603#132.822
251	если	если	SCONJ	_	@dib1981m-words#@dib1981m-words#151.194#151.467
252	мы	мы	PRON	Case=Nom|Number=Plur|Person=1	@dib1981m-words#@dib1981m-words#151.467#151.74
253	будем	быть	AUX	Aspect=Imp|Mood=Ind|Number=Plur|Person=1|Tense=Pres|VerbForm=Fin|Voice=Act	@dib1981m-words#@dib1981m-words#151.74#152.013
